PeakID (cmd=annotatePeaks.pl repr_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rep1_peak_11324	chr7	100081821	100081976	+	114	NA	promoter-TSS (ENST00000292393.9)	protein_coding-promoter-TSS (ENST00000292393.9)	-134	ENST00000424697.5	ENSG00000166526	ENST00000441298			ZNF3			protein_coding
rep1_peak_7028	chr2	190980143	190980383	+	114	NA	promoter-TSS (ENST00000673762.1)	protein_coding-promoter-TSS (ENST00000673762.1)	22	ENST00000673762.1	ENSG00000115415	ENST00000673952			STAT1			protein_coding
rep1_peak_964	chr1	149235135	149235517	+	114	NA	intron (ENST00000685012.2, intron 1 of 3)	transcribed_unprocessed_pseudogene-intron (ENST00000313342.8, intron 4 of 6)	5381	ENST00000685012.2	ENSG00000291233	ENST00000685012			ENSG00000291233			lncRNA
rep1_peak_12601	chr9	137423106	137423354	+	114	NA	promoter-TSS (ENST00000340951.9)	protein_coding-promoter-TSS (ENST00000340951.9)	-19	ENST00000460390.6	ENSG00000187609	ENST00000478350			EXD3			protein_coding
rep1_peak_752	chr1	120748617	120748822	+	114	NA	intron (ENST00000652763.1, intron 1 of 7)	protein_coding-intron (ENST00000620612.6, intron 1 of 35)	24770	ENST00000652763.1	ENSG00000273136	ENST00000620612			NBPF26			protein_coding
rep1_peak_1308	chr1	228609117	228610408	+	114	NA	TTS (ENST00000362482.1)	rRNA-TTS (ENST00000362482.1)	624	ENST00000362482.1	ENSG00000199352	ENST00000362482			RNA5S1			rRNA
rep1_peak_9029	chr4	7102031	7102253	+	113	NA	exon (ENST00000501888.2, exon 1 of 1)	lncRNA-exon (ENST00000501888.2, exon 1 of 1)	1243	ENST00000501888.2	ENSG00000245468	ENST00000504402			LINC02447			lncRNA
rep1_peak_7475	chr20	35616022	35616370	+	113	NA	promoter-TSS (ENST00000454819.1)	protein_coding-promoter-TSS (ENST00000454819.1)	367	ENST00000679710.1	ENSG00000061656	ENST00000679710			SPAG4			protein_coding
rep1_peak_2191	chr11	61429938	61430127	+	113	NA	promoter-TSS (ENST00000301761.7)	protein_coding-promoter-TSS (ENST00000301761.7)	-1	ENST00000394888.8	ENSG00000149532	ENST00000474684			CPSF7			protein_coding
rep1_peak_11001	chr7	29684551	29684694	+	113	NA	promoter-TSS (ENST00000602965.1)	lncRNA-promoter-TSS (ENST00000602965.1)	-20	ENST00000602965.1	ENSG00000291213	ENST00000602965			DPY19L2P3			lncRNA
rep1_peak_12017	chr8	134712498	134712809	+	113	NA	intron (ENST00000523924.5, intron 1 of 16)	protein_coding-intron (ENST00000377838.8, intron 1 of 15)	309	ENST00000523399.5	ENSG00000066827	ENST00000520356			ZFAT			protein_coding
rep1_peak_1688	chr10	69360728	69361050	+	113	NA	promoter-TSS (ENST00000703956.1)	protein_coding-promoter-TSS (ENST00000703956.1)	-536	ENST00000703956.1	ENSG00000156515	ENST00000476368			HK1			protein_coding
rep1_peak_155	KI270733.1	148410	148608	+	113	NA	Intergenic	Intergenic	-18709	ENST00000615130.1	ENSG00000276312	ENST00000615130			ENSG00000276312			misc_RNA
rep1_peak_1857	chr10	114544385	114544550	+	112	NA	intron (ENST00000707119.1, intron 6 of 20)	protein_coding-intron (ENST00000369256.6, intron 6 of 23)	-17536	ENST00000392952.7	ENSG00000099204	ENST00000481974			ABLIM1			protein_coding
rep1_peak_8397	chr3	31288768	31288975	+	112	NA	Intergenic	Intergenic	19864	ENST00000427353.1	ENSG00000230111	ENST00000427353			H3P11			processed_pseudogene
rep1_peak_3875	chr15	40953203	40953428	+	112	NA	promoter-TSS (ENST00000487220.1)	protein_coding-promoter-TSS (ENST00000487220.1)	-156	ENST00000617768.5	ENSG00000128965	ENST00000617768			CHAC1			protein_coding
rep1_peak_9695	chr5	67215790	67216045	+	112	NA	Intergenic	Intergenic	-19118	ENST00000256447.5	ENSG00000134061	ENST00000256447			CD180			protein_coding
rep1_peak_9025	chr4	6750952	6751274	+	112	NA	Intergenic	Intergenic	-12395	ENST00000666330.1	ENSG00000287331	ENST00000666330			ENSG00000287331			lncRNA
rep1_peak_10906	chr7	1559017	1559357	+	111	NA	intron (ENST00000431208.1, intron 1 of 3)	protein_coding-intron (ENST00000421923.5, intron 1 of 5)	1634	ENST00000431208.1	ENSG00000164855	ENST00000474813			TMEM184A			protein_coding
rep1_peak_2698	chr12	50224456	50224658	+	111	NA	promoter-TSS (ENST00000550611.1)	protein_coding-promoter-TSS (ENST00000550611.1)	-76	ENST00000550611.1	ENSG00000050405	ENST00000394943			LIMA1			protein_coding
rep1_peak_8364	chr3	15427283	15427636	+	111	NA	promoter-TSS (ENST00000383789.9)	protein_coding-promoter-TSS (ENST00000383789.9)	59	ENST00000443029.5	ENSG00000206562	ENST00000443029			METTL6			protein_coding
rep1_peak_4263	chr16	2911762	2911921	+	111	NA	promoter-TSS (ENST00000253928.14)	protein_coding-promoter-TSS (ENST00000253928.14)	-90	ENST00000253928.14	ENSG00000059122	ENST00000575604			FLYWCH1			protein_coding
rep1_peak_4256	chr16	2603250	2603395	+	111	NA	promoter-TSS (ENST00000399702.6)	lncRNA-promoter-TSS (ENST00000399702.6)	-14	ENST00000399702.6	ENSG00000291228	ENST00000399702			ENSG00000291228			lncRNA
rep1_peak_9570	chr5	32714046	32714331	+	111	NA	intron (ENST00000415167.2, intron 1 of 7)	protein_coding-intron (ENST00000265074.13, intron 1 of 7)	1857	ENST00000507141.1	ENSG00000113389	ENST00000434067			NPR3			protein_coding
rep1_peak_7604	chr20	57031312	57031522	+	111	NA	Intergenic	Intergenic	-74324	ENST00000442780.1	ENSG00000231078	ENST00000442780			ENSG00000231078			lncRNA
rep1_peak_6185	chr19	45079149	45079339	+	111	NA	promoter-TSS (ENST00000270257.9)	protein_coding-promoter-TSS (ENST00000270257.9)	-14	ENST00000591747.5	ENSG00000142252	ENST00000270257			GEMIN7			protein_coding
rep1_peak_7079	chr2	208025393	208025682	+	111	NA	promoter-TSS (ENST00000427836.8)	protein_coding-promoter-TSS (ENST00000427836.8)	-10	ENST00000427836.8	ENSG00000178385	ENST00000447645			PLEKHM3			protein_coding
rep1_peak_5512	chr17	83189723	83189956	+	111	NA	intron (ENST00000652318.1, intron 2 of 3)	lncRNA-intron (ENST00000651869.1, intron 2 of 3)	-9813	ENST00000691786.1	ENSG00000262898	ENST00000652318			ENSG00000262898			lncRNA
rep1_peak_8678	chr3	122975374	122975653	+	111	NA	promoter-TSS (ENST00000449546.1)	protein_coding-promoter-TSS (ENST00000449546.1)	-143	ENST00000449546.1	ENSG00000082684	ENST00000465147			SEMA5B			protein_coding
rep1_peak_3482	chr14	65356530	65356842	+	111	NA	Intergenic	Intergenic	-21503	ENST00000584635.1	ENSG00000266740	ENST00000584635			MIR4708			miRNA
rep1_peak_10249	chr6	31197850	31198175	+	110	NA	promoter-TSS (ENST00000414008.3)	lncRNA-promoter-TSS (ENST00000414008.3)	25	ENST00000606367.1	ENSG00000272501	ENST00000606367			ENSG00000272501			lncRNA
rep1_peak_10710	chr6	109892941	109893258	+	110	NA	Intergenic	Intergenic	66577	ENST00000458693.1	ENSG00000112367	ENST00000419951			FIG4			protein_coding
rep1_peak_6953	chr2	160632371	160632579	+	110	NA	Intergenic	Intergenic	-138668	ENST00000348849.8	ENSG00000153250	ENST00000348849			RBMS1			protein_coding
rep1_peak_1199	chr1	200738874	200739258	+	110	NA	promoter-TSS (ENST00000236925.8)	protein_coding-promoter-TSS (ENST00000236925.8)	173	ENST00000358823.7	ENSG00000118200	ENST00000447701			CAMSAP2			protein_coding
rep1_peak_4281	chr16	4290239	4290470	+	109	NA	Intergenic	Intergenic	17270	ENST00000689542.1	ENSG00000288935	ENST00000689542			ENSG00000288935			lncRNA
rep1_peak_1506	chr10	22436821	22437235	+	109	NA	intron (ENST00000487973.1, intron 2 of 3)	protein_coding-intron (ENST00000487973.1, intron 2 of 3)	39036	ENST00000674076.1	ENSG00000285254	ENST00000642887			ENSG00000285254			unitary_pseudogene
rep1_peak_4497	chr16	30224741	30225178	+	109	NA	TTS (ENST00000562937.5)	protein_coding-TTS (ENST00000562937.5)	6739	ENST00000563429.1	ENSG00000261203	ENST00000563429			PLA2G10JP			unprocessed_pseudogene
rep1_peak_8182	chr22	31159942	31160217	+	109	NA	promoter-TSS (ENST00000266252.8)	protein_coding-promoter-TSS (ENST00000266252.8)	40	ENST00000583386.1	ENSG00000264141	ENST00000583386			MIR3928			miRNA
rep1_peak_12385	chr9	98142423	98142678	+	109	NA	intron (ENST00000375077.5, intron 2 of 11)	protein_coding-intron (ENST00000343933.9, intron 2 of 11)	-23328	ENST00000341469.7	ENSG00000106785	ENST00000342043			TRIM14			protein_coding
rep1_peak_2658	chr12	42144728	42144971	+	109	NA	promoter-TSS (ENST00000280876.6)	protein_coding-promoter-TSS (ENST00000280876.6)	25	ENST00000398675.8	ENSG00000151233	ENST00000280876			GXYLT1			protein_coding
rep1_peak_4286	chr16	4767120	4767461	+	108	NA	promoter-TSS (ENST00000219478.11)	protein_coding-promoter-TSS (ENST00000219478.11)	-74	ENST00000545009.1	ENSG00000103199	ENST00000592425			ZNF500			protein_coding
rep1_peak_10203	chr6	26188959	26189189	+	108	NA	promoter-TSS (ENST00000614247.2)	protein_coding-promoter-TSS (ENST00000614247.2)	38	ENST00000614247.2	ENSG00000277157	ENST00000614247			H4C4			protein_coding
rep1_peak_5758	chr19	1181684	1181964	+	108	NA	intron (ENST00000585748.3, intron 2 of 11)	protein_coding-intron (ENST00000585748.3, intron 2 of 11)	4266	ENST00000585748.3	ENSG00000118046	ENST00000326873			STK11			protein_coding
rep1_peak_4199	chr16	38881	39203	+	108	NA	promoter-TSS (ENST00000442856.1)	unprocessed_pseudogene-promoter-TSS (ENST00000442856.1)	-721	ENST00000442856.1	ENSG00000226942	ENST00000442856			IL9RP3			unprocessed_pseudogene
rep1_peak_12315	chr9	86354294	86354604	+	108	NA	promoter-TSS (ENST00000277141.10)	protein_coding-promoter-TSS (ENST00000277141.10)	5	ENST00000375960.6	ENSG00000083223	ENST00000277141			TUT7			protein_coding
rep1_peak_674	chr1	107936590	107936899	+	108	NA	intron (ENST00000527011.5, intron 1 of 27)	protein_coding-intron (ENST00000370056.9, intron 1 of 26)	26756	ENST00000530671.1	ENSG00000134215	ENST00000469325			VAV3			protein_coding
rep1_peak_1211	chr1	202018446	202019116	+	108	NA	Intergenic	Intergenic	5003	ENST00000475698.1	ENSG00000163435	ENST00000359651			ELF3			protein_coding
rep1_peak_11928	chr8	101437144	101437398	+	107	NA	intron (ENST00000519793.1, intron 1 of 1)	lncRNA-intron (ENST00000519793.1, intron 1 of 1)	15181	ENST00000519793.1	ENSG00000254084	ENST00000519793			ENSG00000254084			lncRNA
rep1_peak_5409	chr17	75549294	75549577	+	107	NA	intron (ENST00000583658.1, intron 1 of 4)	protein_coding-intron (ENST00000167462.9, intron 2 of 24)	3287	ENST00000583658.1	ENSG00000073350	ENST00000375227			LLGL2			protein_coding
rep1_peak_4480	chr16	29611642	29611849	+	107	NA	intron (ENST00000675579.1, intron 1 of 13)	lncRNA-intron (ENST00000675579.1, intron 1 of 13)	1895	ENST00000568957.2	ENSG00000260727	ENST00000568957			SLC7A5P1			transcribed_unprocessed_pseudogene
rep1_peak_12451	chr9	120793234	120793400	+	107	NA	promoter-TSS (ENST00000437707.2)	protein_coding-promoter-TSS (ENST00000437707.2)	50	ENST00000684047.1	ENSG00000119402	ENST00000684405			FBXW2			protein_coding
rep1_peak_7114	chr2	219569128	219569361	+	107	NA	promoter-TSS (ENST00000489456.1)	protein_coding-promoter-TSS (ENST00000489456.1)	82	ENST00000489456.1	ENSG00000123999	ENST00000243786			INHA			protein_coding
rep1_peak_5670	chr18	36309416	36309681	+	106	NA	intron (ENST00000590592.6, intron 1 of 28)	protein_coding-intron (ENST00000257209.8, intron 1 of 24)	11712	ENST00000359247.8	ENSG00000134775	ENST00000589114			FHOD3			protein_coding
rep1_peak_6247	chr19	48330096	48330497	+	106	NA	TTS (ENST00000594198.1)	protein_coding-TTS (ENST00000594198.1)	1026	ENST00000597057.1	ENSG00000142227	ENST00000597279			EMP3			protein_coding
rep1_peak_5480	chr17	81393966	81394143	+	106	NA	TTS (ENST00000701623.1)	lncRNA-TTS (ENST00000701623.1)	-1403	ENST00000675386.2	ENSG00000266074	ENST00000675386			BAHCC1			protein_coding
rep1_peak_8423	chr3	41199307	41199584	+	106	NA	promoter-TSS (ENST00000349496.11)	protein_coding-promoter-TSS (ENST00000349496.11)	0	ENST00000453024.6	ENSG00000168036	ENST00000647390			CTNNB1			protein_coding
rep1_peak_5688	chr18	48990954	48991187	+	106	NA	Intergenic	Intergenic	-22036	ENST00000624037.1	ENSG00000280335	ENST00000624037			ENSG00000280335			TEC
rep1_peak_6525	chr2	41457137	41457349	+	106	NA	Intergenic	Intergenic	-258890	ENST00000660664.1	ENSG00000287145	ENST00000660664			ENSG00000287145			lncRNA
rep1_peak_6804	chr2	113079235	113079546	+	106	NA	Intergenic	Intergenic	4851	ENST00000496265.1	ENSG00000136697	ENST00000393197			IL1F10			protein_coding
rep1_peak_13119	chrY	1799989	1800188	+	106	NA	Intergenic	Intergenic	32741	ENST00000711120.1	ENSG00000292330	ENST00000711120			ENSG00000292330			lncRNA
rep1_peak_8003	chr21	45287914	45288213	+	106	NA	promoter-TSS (ENST00000331343.11)	protein_coding-promoter-TSS (ENST00000331343.11)	1	ENST00000647108.1	ENSG00000223768	ENST00000647108			LINC00205			lncRNA
rep1_peak_552	chr1	47478190	47478489	+	106	NA	Intergenic	Intergenic	5823	ENST00000604764.1	ENSG00000271355	ENST00000604764			ENSG00000271355			processed_pseudogene
rep1_peak_372	chr1	16175958	16176180	+	106	NA	Intergenic	Intergenic	16803	ENST00000426353.1	ENSG00000224621	ENST00000426353			ENSG00000224621			lncRNA
rep1_peak_12174	chr9	37948081	37948288	+	106	NA	intron (ENST00000377707.4, intron 5 of 5)	protein_coding-intron (ENST00000377707.4, intron 5 of 5)	-11416	ENST00000515936.1	ENSG00000251745	ENST00000515936			RNU7-124P			snRNA
rep1_peak_1823	chr10	103241596	103241827	+	105	NA	intron (ENST00000675164.1, intron 1 of 19)	protein_coding-intron (ENST00000674696.1, intron 1 of 17)	-4176	ENST00000441178.2	ENSG00000235376	ENST00000441178			RPEL1			protein_coding
rep1_peak_1138	chr1	175023293	175023568	+	105	NA	promoter-TSS (ENST00000367677.3)	protein_coding-promoter-TSS (ENST00000367677.3)	-5	ENST00000476371.1	ENSG00000120333	ENST00000498253			MRPS14			protein_coding
rep1_peak_3914	chr15	52568882	52569298	+	105	NA	promoter-TSS (ENST00000249822.9)	protein_coding-promoter-TSS (ENST00000249822.9)	-60	ENST00000249822.9	ENSG00000128989	ENST00000569281			ARPP19			protein_coding
rep1_peak_4845	chr16	88928129	88928757	+	105	NA	intron (ENST00000563640.1, intron 1 of 2)	protein_coding-intron (ENST00000268679.9, intron 1 of 11)	9313	ENST00000561980.1	ENSG00000261226	ENST00000561980			ENSG00000261226			lncRNA
rep1_peak_11311	chr7	98252202	98252373	+	105	NA	promoter-TSS (ENST00000415086.5)	protein_coding-promoter-TSS (ENST00000415086.5)	-55	ENST00000447648.7	ENSG00000205356	ENST00000474915			TECPR1			protein_coding
rep1_peak_6133	chr19	39154708	39155035	+	105	NA	intron (ENST00000599470.5, intron 1 of 7)	protein_coding-intron (ENST00000321944.8, intron 1 of 9)	-1831	ENST00000599657.5	ENSG00000130669	ENST00000593690			PAK4			protein_coding
rep1_peak_5888	chr19	13846577	13846886	+	105	NA	Intergenic	Intergenic	-3803	ENST00000587762.2	ENSG00000267519	ENST00000587762			MIR23AHG			lncRNA
rep1_peak_10626	chr6	79078175	79078455	+	105	NA	promoter-TSS (ENST00000275034.5)	protein_coding-promoter-TSS (ENST00000275034.5)	-28	ENST00000700119.1	ENSG00000146247	ENST00000700119			PHIP			protein_coding
rep1_peak_2753	chr12	56299973	56300324	+	105	NA	promoter-TSS (ENST00000547298.5)	protein_coding-promoter-TSS (ENST00000547298.5)	54	ENST00000660360.2	ENSG00000257303	ENST00000549860			CNPY2-AS1			lncRNA
rep1_peak_12285	chr9	75028382	75028683	+	105	NA	promoter-TSS (ENST00000376830.3)	protein_coding-promoter-TSS (ENST00000376830.3)	-109	ENST00000376830.3	ENSG00000156017	ENST00000451153			CARNMT1			protein_coding
rep1_peak_8643	chr3	107796870	107797052	+	105	NA	intron (ENST00000443253.1, intron 3 of 3)	protein_coding-intron (ENST00000325805.13, intron 15 of 17)	-1630	ENST00000458347.1	ENSG00000114439	ENST00000325805			BBX			protein_coding
rep1_peak_11531	chr7	151851106	151851416	+	105	NA	intron (ENST00000474383.1, intron 1 of 1)	protein_coding-intron (ENST00000287878.9, intron 1 of 15)	25527	ENST00000474383.1	ENSG00000106617	ENST00000652714			PRKAG2			protein_coding
rep1_peak_4028	chr15	75335903	75336217	+	105	NA	promoter-TSS (ENST00000267935.13)	protein_coding-promoter-TSS (ENST00000267935.13)	0	ENST00000567023.5	ENSG00000140365	ENST00000566230			COMMD4			protein_coding
rep1_peak_11488	chr7	143711887	143712124	+	105	NA	intron (ENST00000684770.1, intron 2 of 7)	protein_coding-intron (ENST00000357344.9, intron 1 of 5)	-2770	ENST00000411935.5	ENSG00000170379	ENST00000518791			TCAF2			protein_coding
rep1_peak_5310	chr17	59619617	59619955	+	104	NA	promoter-TSS (ENST00000269122.8)	protein_coding-promoter-TSS (ENST00000269122.8)	-72	ENST00000611877.1	ENSG00000273702	ENST00000611877			ENSG00000273702			lncRNA
rep1_peak_2302	chr11	69437145	69437404	+	104	NA	Intergenic	Intergenic	7469	ENST00000544004.1	ENSG00000255606	ENST00000544004			LINC02952			lncRNA
rep1_peak_13093	chrX	154388164	154388362	+	104	NA	Intergenic	Intergenic	-1692	ENST00000492572.5	ENSG00000147403	ENST00000482732			RPL10			protein_coding
rep1_peak_6787	chr2	111698983	111699151	+	104	NA	promoter-TSS (ENST00000644013.1)	lncRNA-promoter-TSS (ENST00000644013.1)	-34	ENST00000644013.1	ENSG00000285016	ENST00000645914			ENSG00000285016			lncRNA
rep1_peak_700	chr1	111513483	111513965	+	104	NA	intron (ENST00000369717.8, intron 1 of 5)	protein_coding-intron (ENST00000369717.8, intron 1 of 5)	-10091	ENST00000369716.9	ENSG00000121933	ENST00000472933			TMIGD3			protein_coding
rep1_peak_2941	chr12	116559404	116559666	+	104	NA	intron (ENST00000556529.4, intron 1 of 1)	protein_coding-intron (ENST00000556529.4, intron 1 of 1)	154	ENST00000556529.4	ENSG00000258102	ENST00000556529			MAP1LC3B2			protein_coding
rep1_peak_6121	chr19	37932420	37932602	+	104	NA	exon (ENST00000476317.2, exon 1 of 3)	protein_coding-exon (ENST00000476317.2, exon 1 of 3)	165	ENST00000476317.2	ENSG00000105738	ENST00000601054			SIPA1L3			protein_coding
rep1_peak_6161	chr19	41887946	41888148	+	104	NA	intron (ENST00000698934.1, intron 1 of 30)	protein_coding-intron (ENST00000337665.8, intron 1 of 28)	3599	ENST00000337665.8	ENSG00000076928	ENST00000598812			ARHGEF1			protein_coding
rep1_peak_12483	chr9	126802151	126802633	+	104	NA	Intergenic	Intergenic	-2614	ENST00000449886.5	ENSG00000169155	ENST00000450858			ZBTB43			protein_coding
rep1_peak_6130	chr19	39111632	39111886	+	104	NA	TTS (ENST00000331256.10)	protein_coding-TTS (ENST00000331256.10)	12696	ENST00000601531.1	ENSG00000183760	ENST00000601575			ACP7			protein_coding
rep1_peak_6853	chr2	127085222	127085458	+	104	NA	intron (ENST00000409400.1, intron 1 of 13)	protein_coding-intron (ENST00000259238.8, intron 1 of 15)	-20412	ENST00000466111.5	ENSG00000136717	ENST00000346226			BIN1			protein_coding
rep1_peak_3421	chr14	49770406	49770655	+	104	NA	intron (ENST00000553538.5, intron 1 of 4)	protein_coding-intron (ENST00000298307.10, intron 1 of 12)	-1062	ENST00000553703.1	ENSG00000165516	ENST00000555443			KLHDC2			protein_coding
rep1_peak_6649	chr2	75710799	75711000	+	104	NA	promoter-TSS (ENST00000321027.8)	protein_coding-promoter-TSS (ENST00000321027.8)	0	ENST00000470503.1	ENSG00000005436	ENST00000427862			GCFC2			protein_coding
rep1_peak_1061	chr1	161083551	161083817	+	103	NA	promoter-TSS (ENST00000447167.1)	lncRNA-promoter-TSS (ENST00000447167.1)	-781	ENST00000447167.1	ENSG00000228917	ENST00000447167			NECTIN4-AS1			lncRNA
rep1_peak_10306	chr6	37169741	37169974	+	103	NA	promoter-TSS (ENST00000373509.6)	protein_coding-promoter-TSS (ENST00000373509.6)	-295	ENST00000373509.6	ENSG00000137193	ENST00000373509			PIM1			protein_coding
rep1_peak_9996	chr5	159341916	159342221	+	103	NA	intron (ENST00000641150.1, intron 2 of 4)	lncRNA-intron (ENST00000515337.1, intron 2 of 4)	-4032	ENST00000635333.1	ENSG00000249738	ENST00000635333			ENSG00000249738			lncRNA
rep1_peak_1148	chr1	179017102	179017305	+	103	NA	promoter-TSS (ENST00000690027.2)	lncRNA-promoter-TSS (ENST00000690027.2)	-86	ENST00000690027.2	ENSG00000289432	ENST00000690027			ENSG00000289432			lncRNA
rep1_peak_8801	chr3	150737290	150737612	+	103	NA	exon (ENST00000659411.1, exon 2 of 4)	lncRNA-exon (ENST00000659411.1, exon 2 of 4)	1480	ENST00000659411.1	ENSG00000287688	ENST00000669560			ENSG00000287688			lncRNA
rep1_peak_3678	chr14	105467253	105467465	+	103	NA	promoter-TSS (ENST00000426567.5)	protein_coding-promoter-TSS (ENST00000426567.5)	-750	ENST00000426567.5	ENSG00000182979	ENST00000481206			MTA1			protein_coding
rep1_peak_8533	chr3	72628228	72628381	+	103	NA	Intergenic	Intergenic	44934	ENST00000483483.1	ENSG00000239568	ENST00000483483			MTCO3P47			processed_pseudogene
rep1_peak_12586	chr9	136693639	136694128	+	103	NA	Intergenic	Intergenic	-6426	ENST00000371696.7	ENSG00000169692	ENST00000470861			AGPAT2			protein_coding
rep1_peak_6728	chr2	96888561	96888820	+	103	NA	intron (ENST00000494172.1, intron 2 of 3)	protein_coding-intron (ENST00000393526.6, intron 2 of 4)	6452	ENST00000470789.5	ENSG00000168754	ENST00000470789			FAM178B			protein_coding
rep1_peak_2809	chr12	75330095	75330471	+	103	NA	promoter-TSS (ENST00000409445.8)	protein_coding-promoter-TSS (ENST00000409445.8)	41	ENST00000699294.1	ENSG00000180881	ENST00000552497			CAPS2			protein_coding
rep1_peak_3568	chr14	90331858	90332162	+	103	NA	promoter-TSS (ENST00000354366.8)	protein_coding-promoter-TSS (ENST00000354366.8)	-41	ENST00000557106.1	ENSG00000119720	ENST00000557732			NRDE2			protein_coding
rep1_peak_2721	chr12	52949765	52950062	+	103	NA	promoter-TSS (ENST00000546826.5)	protein_coding-promoter-TSS (ENST00000546826.5)	7	ENST00000551318.1	ENSG00000170421	ENST00000546897			KRT8			protein_coding
rep1_peak_2979	chr12	122946911	122947087	+	103	NA	promoter-TSS (ENST00000542448.5)	protein_coding-promoter-TSS (ENST00000542448.5)	-522	ENST00000542448.5	ENSG00000150967	ENST00000546077			ABCB9			protein_coding
rep1_peak_7508	chr20	43514028	43514219	+	103	NA	promoter-TSS (ENST00000373134.5)	protein_coding-promoter-TSS (ENST00000373134.5)	168	ENST00000647860.1	ENSG00000185513	ENST00000439769			L3MBTL1			protein_coding
rep1_peak_4035	chr15	75903701	75904075	+	103	NA	promoter-TSS (ENST00000308275.8)	protein_coding-promoter-TSS (ENST00000308275.8)	10	ENST00000453211.6	ENSG00000167196	ENST00000564220			FBXO22			protein_coding
rep1_peak_5873	chr19	12786493	12786741	+	103	NA	promoter-TSS (ENST00000585074.1)	miRNA-promoter-TSS (ENST00000585074.1)	-511	ENST00000585074.1	ENSG00000263800	ENST00000585074			MIR5684			miRNA
rep1_peak_1132	chr1	172746345	172746964	+	103	NA	Intergenic	Intergenic	-1906	ENST00000458247.1	ENSG00000229785	ENST00000458247			SLC25A38P1			processed_pseudogene
rep1_peak_7454	chr20	32475316	32475614	+	103	NA	intron (ENST00000621426.7, intron 4 of 10)	protein_coding-intron (ENST00000326071.8, intron 1 of 2)	8006	ENST00000359676.9	ENSG00000197183	ENST00000470428			NOL4L			protein_coding
rep1_peak_5871	chr19	12777593	12777864	+	103	NA	intron (ENST00000593143.5, intron 1 of 2)	protein_coding-intron (ENST00000586719.5, intron 1 of 8)	664	ENST00000591251.1	ENSG00000095066	ENST00000591839			HOOK2			protein_coding
rep1_peak_11176	chr7	66921063	66921291	+	103	NA	promoter-TSS (ENST00000341567.8)	protein_coding-promoter-TSS (ENST00000341567.8)	-48	ENST00000341567.8	ENSG00000106609	ENST00000424964			TMEM248			protein_coding
rep1_peak_4273	chr16	3305553	3305965	+	103	NA	promoter-TSS (ENST00000396862.2)	protein_coding-promoter-TSS (ENST00000396862.2)	-30	ENST00000570634.1	ENSG00000140993	ENST00000574598			TIGD7			protein_coding
rep1_peak_1046	chr1	156471591	156471963	+	103	NA	intron (ENST00000475587.2, intron 6 of 8)	protein_coding-intron (ENST00000348159.9, intron 9 of 11)	8003	ENST00000493077.1	ENSG00000116604	ENST00000348159			MEF2D			protein_coding
rep1_peak_391	chr1	17340459	17340697	+	103	NA	intron (ENST00000375448.4, intron 6 of 15)	protein_coding-intron (ENST00000375448.4, intron 6 of 15)	-5456	ENST00000468945.1	ENSG00000159339	ENST00000468945			PADI4			protein_coding
rep1_peak_9783	chr5	72848058	72848398	+	103	NA	promoter-TSS (ENST00000506351.6)	protein_coding-promoter-TSS (ENST00000506351.6)	44	ENST00000506351.6	ENSG00000083312	ENST00000505082			TNPO1			protein_coding
rep1_peak_1664	chr10	58384989	58385392	+	103	NA	promoter-TSS (ENST00000373895.7)	protein_coding-promoter-TSS (ENST00000373895.7)	-155	ENST00000373899.3	ENSG00000108064	ENST00000395377			TFAM			protein_coding
rep1_peak_10229	chr6	28349853	28350061	+	103	NA	promoter-TSS (ENST00000252211.7)	protein_coding-promoter-TSS (ENST00000252211.7)	7	ENST00000377255.3	ENSG00000189298	ENST00000341464			ZKSCAN3			protein_coding
rep1_peak_2521	chr12	2034958	2035173	+	103	NA	intron (ENST00000683956.1, intron 1 of 46)	protein_coding-intron (ENST00000682462.1, intron 1 of 46)	-13287	ENST00000541871.1	ENSG00000151067	ENST00000682320			CACNA1C			protein_coding
rep1_peak_2303	chr11	69494337	69494622	+	103	NA	exon (ENST00000642898.1, exon 7 of 7)	lncRNA-exon (ENST00000642898.1, exon 7 of 7)	8868	ENST00000642898.1	ENSG00000285094	ENST00000644563			LINC01488			lncRNA
rep1_peak_1543	chr10	33010219	33010531	+	103	NA	intron (ENST00000700951.1, intron 3 of 3)	lncRNA-intron (ENST00000414157.2, intron 2 of 2)	-4583	ENST00000475184.6	ENSG00000150093	ENST00000676895			ITGB1			protein_coding
rep1_peak_6246	chr19	48322041	48322266	+	103	NA	promoter-TSS (ENST00000474199.6)	protein_coding-promoter-TSS (ENST00000474199.6)	-182	ENST00000674294.1	ENSG00000105479	ENST00000674234			ODAD1			protein_coding
rep1_peak_7600	chr20	56392380	56392808	+	103	NA	promoter-TSS (ENST00000217109.9)	protein_coding-promoter-TSS (ENST00000217109.9)	-51	ENST00000217109.9	ENSG00000101138	ENST00000493039			CSTF1			protein_coding
